AppID,Name,Discount,Price,Rating,Release,Ends,Started
1040420,Dreamscaper,0.0,18.49,85.42,2021-08,14,0
12360,FlatOut: Ultimate Carnage Collector's Edition,0.0,13.99,85.3,2008-08,1,-13
38720,RUSH,0.0,2.88,85.27,2010-12,5,-2
227100,Sniper Elite: Nazi Zombie Army,0.0,7.04,85.22,2013-02,13,-1
260190,Marc Eckō's Getting Up: Contents Under Pressure,0.0,4.69,85.19,2006-02,1,-6
474750,Reigns,0.0,3.46,85.06,2016-08,1,-6
96000,The Tiny Bang Story,0.0,3.39,84.83,2011-04,5,-2
204100,Max Payne 3,0.0,29.85,84.83,2012-06,5,-9
909820,Songbird Symphony,0.0,13.12,84.82,2019-07,14,0
211340,Magical Diary: Horse Hall,0.0,14.09,84.81,2012-05,5,-2
871930,GLADIABOTS - AI Combat Arena,0.0,14.09,84.74,2019-05,5,-2
611790,House Party,0.0,37.49,84.66,2022-07,5,-2
1062140,Garden Story,0.0,15.19,84.64,2021-08,5,-2
15170,Heroes of Might & Magic V,0.0,7.49,84.58,2006-05,9,-5
627270,Injustice™ 2,0.0,27.99,84.54,2017-11,12,-2
792040,Detective Di: The Silk Rose Murders,0.0,6.9,84.51,2019-05,5,-2
1066260,Devolver Bootleg,0.0,5.09,84.5,2019-06,1,-6
1836160,PANELKI,0.0,3.39,84.47,2022-03,5,-9
1402110,Eternights,0.5,54.95,84.46,2023-09,5,-2
1498740,Troublemaker,0.5,29.99,84.4,2023-03,14,0
558420,Stories Untold,0.0,6.59,84.37,2017-02,1,-6
370540,Gary Grigsby's War in the East,0.0,87.41,84.32,2010-12,5,-2
493540,Figment,0.0,7.39,84.31,2017-09,14,0
1659040,HITMAN World of Assassination,0.6,35.59,84.24,2022-01,5,-2
345430,The Cursed Forest,0.0,11.43,84.24,2019-02,5,-2
361300,Mother Russia Bleeds,0.0,9.39,84.19,2016-09,1,-6
2249160,September 7th,0.0,6.34,84.15,2023-01,12,-2
38700,Toki Tori,0.0,2.09,84.1,2010-01,5,-2
242700,Injustice: Gods Among Us Ultimate Edition,0.0,22.49,84.1,2013-11,12,-2
496300,Kingdom: New Lands,0.0,4.69,84.08,2016-08,12,-2
110800,L.A. Noire,0.0,29.85,84.05,2011-11,5,-9
1354830,Cat Cafe Manager,0.0,29.99,83.99,2022-04,14,0
880580,YORG.io,0.0,2.75,83.98,2019-05,5,-9
394160,ARCADE GAME SERIES: PAC-MAN,0.0,8.49,83.96,2016-04,6,-1
1218210,Coromon,0.0,23.99,83.84,2022-03,14,0
1089830,Monster Energy Supercross - The Official Videogame 3,0.0,18.67,83.83,2020-02,5,-2
1549690,SPRAWL,0.5,23.49,83.83,2023-08,5,-2
1649080,Two Point Campus,0.75,38.87,83.8,2022-08,5,-2
917840,Wintermoor Tactics Club,0.0,11.74,83.73,2020-05,5,-2
471810,Death Squared,0.0,4.05,83.71,2017-03,5,-2
609110,Blazing Chrome,0.0,16.06,83.69,2019-07,5,-2
485980,Syrian Warfare,0.0,7.8,83.66,2017-02,5,-2
779640,妄想症：Deliver Me,0.0,2.09,83.61,2018-08,2,-12
1553910,My Friend Stalin,0.0,1.74,83.61,2021-06,6,-8
1674890,👑 Idle Calibur 👑（选王之剑）,0.0,13.24,83.57,2022-01,9,-5
757310,Sable,0.0,25.89,83.53,2021-09,1,-13
719750,PUSS!,0.0,7.99,83.48,2018-08,5,-2
303610,Suicide Guy,0.0,2.45,83.45,2017-07,5,-2
960980,Apsulov: End of Gods,0.0,11.99,83.45,2019-08,5,-2
218760,Mixcraft 8 Home Studio,0.75,18.87,83.45,2017-05,5,-2
617290,Remnant: From the Ashes,0.7,22.64,83.44,2019-08,5,-9
633230,NARUTO TO BORUTO: SHINOBI STRIKER,0.0,19.97,83.33,2018-08,5,-2
511740,Gal*Gun: Double Peace,0.0,22.24,83.28,2016-09,14,0
1522820,Orcs Must Die! 3,0.0,26.69,83.24,2021-07,5,-7
694280,Zombie Army 4: Dead War,0.0,20.24,83.22,2021-02,13,-1
500670,Tormentor❌Punisher,0.0,13.24,83.18,2017-06,12,-2
297110,Cosmic DJ,0.0,3.46,83.16,2014-10,1,-6
12200,Bully: Scholarship Edition,0.0,13.99,83.1,2008-10,5,-9
274270,NOT A HERO,0.0,11.99,83.07,2016-07,1,-6
375200,Sakura Fantasy,0.0,5.99,83.03,2015-05,5,-2
235250,Super Sanctum TD,0.0,3.39,82.99,2013-05,6,-8
947600,Eroico,0.0,13.24,82.98,2017-05,5,-2
505640,Antihero,0.0,11.74,82.91,2017-07,5,-2
269330,Chronology,0.0,2.09,82.83,2014-05,14,0
1003520,Hentai Crush,0.0,2.79,82.81,2019-03,5,-2
1154840,Shadow Empire,0.0,53.99,82.81,2020-12,5,-2
13600,Prince of Persia®: The Sands of Time,0.8,5.99,82.8,2003-12,9,-5
590590,Remnants of Naezith,0.0,8.24,82.8,2018-02,5,-2
40720,Samorost 2,0.0,4.49,82.79,2009-12,5,-2
209230,Sherlock Holmes and The Hound of The Baskervilles,0.0,3.7,82.78,2010-11,5,-2
334310,Plebby Quest: The Crusades,0.0,11.99,82.78,2020-04,8,-6
1478650,Diggles: The Myth of Fenris,0.6,8.27,82.76,2020-12,7,-7
808080,Ultimate Racing 2D,0.0,3.49,82.73,2018-05,5,-2
646500,Egypt: Old Kingdom,0.0,11.74,82.7,2018-05,14,0
1399930,Furry Shades of Gay,0.0,9.4,82.68,2020-12,8,-6
740080,Deadly Days,0.9,2.48,82.65,2019-09,5,-9
488790,South Park™: The Fractured But Whole™,0.0,27.99,82.56,2017-10,4,-3
690040,SUPERHOT: MIND CONTROL DELETE,0.0,23.99,82.46,2020-07,14,0
1205960,My Cute Fuhrer,0.0,2.79,82.44,2020-04,5,-9
16810,Sid Meier's Civilization IV: Colonization,0.75,7.49,82.42,2008-09,5,-9
539720,Razortron 2000,0.0,1.74,82.39,2016-10,10,-4
1227280,Despot's Game: Dystopian Battle Simulator,0.6,15.19,82.37,2022-09,5,-9
543260,Wonder Boy: The Dragon's Trap,0.0,17.99,82.21,2017-06,5,-2
1298140,Fobia - St. Dinfna Hotel,0.0,20.29,82.19,2022-06,5,-2
1123770,Curse of the Dead Gods,0.0,26.21,82.17,2021-02,8,-6
1404210,Red Dead Online,0.0,55.99,82.13,2020-12,5,-9
312670,Strange Brigade,0.0,9.39,82.12,2018-08,13,-1
247910,Sniper Elite: Nazi Zombie Army 2,0.0,7.04,82.09,2013-10,13,-1
1092140,Exit From,0.0,5.09,82.07,2021-04,7,-7
272510,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,0.85,8.39,82.05,2014-09,5,-2
402180,Sakura Swim Club,0.0,9.99,81.89,2015-09,5,-2
335070,VRC PRO,0.0,40.99,81.85,2015-03,5,-2
392110,ENDLESS™ Space 2,0.0,19.99,81.84,2017-05,1,-6
865680,The Eternal Cylinder,0.65,25.89,81.82,2022-10,1,-6
552450,Serious Sam VR: The First Encounter,0.9,5.99,81.71,2017-03,1,-6
1093330,Conscious Existence - A Journey Within,0.0,5.09,81.69,2019-06,5,-2
292410,Street Racing Syndicate,0.0,2.62,81.62,2005-01,5,-2
397060,Faeria,0.0,14.99,81.48,2017-03,5,-2
943980,The logic of the miniature garden,0.0,6.59,81.31,2019-06,2,-12
967250,DOKA 2 KISHKI EDITION,0.0,1.74,81.25,2018-11,7,-7
263400,War of the Human Tanks,0.0,16.49,81.17,2012-09,5,-6
1947070,Broken Edge,0.0,23.49,81.16,2022-11,5,-2
226620,Desktop Dungeons,0.0,12.49,81.15,2023-04,5,-9
851890,Gal*Gun 2,0.0,22.24,81.09,2018-07,14,0
505630,Let Them Come,0.0,6.62,81.07,2017-10,5,-2
465240,Serious Sam VR: The Last Hope,0.0,70.37,81.02,2017-09,-6,0
738520,Breathedge,0.0,73.58,80.95,2021-02,0,0
989440,Phantom Abyss,0.5,29.99,80.95,2024-01,1,-6
285500,Hard Truck Apocalypse / Ex Machina,0.0,24.29,80.94,2005-12,-2,0
1076160,Command: Modern Operations,0.0,131.12,80.91,2019-11,5,-2
1785150,Friends vs Friends,0.5,16.49,80.84,2023-05,12,-2
201420,Toki Tori 2+,0.0,2.79,80.82,2013-07,5,-2
1144440,UnderParty,0.0,11.75,80.8,2020-04,14,0
651670,Star Renegades,0.0,14.79,80.79,2020-09,12,-2
232010,Euro Truck Simulator,0.0,3.21,80.73,2008-08,8,-6
1607240,Mail Time,0.5,29.99,80.73,2023-04,14,0
668630,Tricolour Lovestory,0.0,2.09,80.69,2017-09,2,-12
711660,CHUCHEL,0.0,7.49,80.67,2018-03,5,-2
1218500,Galactic Mining Corp,0.0,13.44,80.65,2021-05,5,-2
12210,Grand Theft Auto IV: The Complete Edition,0.0,23.7,80.63,2020-03,5,-9
490390,神明的一天世界(God's One Day World),0.0,9.99,80.63,2016-07,5,-2
1307090,Barro Racing,0.0,1.74,80.5,2020-09,3,-11
1173200,Metal Unit,0.0,9.39,80.5,2021-01,8,-6
1556790,Isonzo,0.67,29.36,80.47,2022-09,9,-5
1117630,I got a cat maid,0.6,1.79,80.46,2019-08,2,-5
418620,The TakeOver,0.0,7.59,80.45,2019-11,5,-2
654260,旧手表 - Old Watch,0.0,10.34,80.28,2017-12,5,-2
567670,Serious Sam 3 VR: BFE,0.0,13.34,80.24,2017-11,1,-6
421700,Sakura Santa,0.0,5.99,80.22,2015-12,5,-2
342380,Sakura Angels,0.0,5.99,80.22,2015-01,5,-2
278100,"RIVE: Wreck, Hack, Die, Retry!",0.9,2.79,80.19,2016-09,5,-2
460920,Steep™,0.0,13.49,80.08,2016-12,9,-5
773580,Game Dev Studio,0.0,9.89,80.02,2018-03,5,-9
211260,They Bleed Pixels,0.0,8.24,80.01,2012-08,3,-11
